nm_main_double_rnd_280;nm_main_double_rnd_400;nm_main_double_rnd_750;nm_main_double_rnd_900;nm_main_double_rnd_1200;nm_main_double_rnd_1500;nm_main_double_rnd_1900;nm_main_double_rnd_2100;nm_main_double_rnd_2330;nm_main_double_rnd_2500;nm_main_double_rnd_2750;nm_main_double_rnd_3000
0.133748;0.406938;4.120226;5.873929;12.635434;27.438474;56.355635;76.972384;128.907323;132.830272;;
0.130494;0.400263;3.937224;5.818082;12.642038;27.277157;56.752516;77.105063;130.181859;133.139224;;
0.133448;0.397815;3.985967;6.018081;12.789836;27.351831;56.54228;77.332354;130.242551;132.654606;;
0.130573;0.392596;4.150884;5.840411;12.584058;27.556228;56.703893;77.476766;130.325776;132.547143;;
0.133053;0.392402;4.086292;7.129572;12.787284;27.565746;56.577799;77.482564;129.890079;132.11446;;
0.13053;0.418084;3.9736;5.815888;12.738455;27.446811;56.622282;77.080875;129.382761;132.171133;;
0.132172;0.420196;3.963149;5.802518;12.685791;27.458747;56.565785;77.178442;130.089943;132.919234;;
0.130714;0.406185;3.932815;5.872435;12.70848;27.382099;56.812597;77.028105;130.154457;132.45082;;
0.132682;0.476581;3.920886;6.03827;12.763352;27.562673;56.69828;76.990592;130.042915;132.904485;;
0.130493;0.426158;3.961907;5.787517;12.73115;27.397159;56.868388;77.150572;129.343576;132.433898;;
0.132027;0.38393;3.936706;6.359819;12.754713;27.381966;56.419719;77.191952;130.163049;132.272021;;
0.134958;0.394108;4.387526;5.945695;12.668095;27.463008;56.685486;76.752444;128.573044;133.957679;;
0.134586;0.391694;4.405399;5.777523;12.938764;27.570342;56.549132;76.912996;128.700665;132.866854;;
0.1346;0.3902;3.938198;5.807919;12.740451;27.448308;56.52204;77.515337;129.005446;132.911204;;
0.132718;0.393595;3.916487;5.821054;12.762131;27.55052;56.312354;77.500373;128.950561;132.5741;;
0.13223;0.392097;4.369786;5.810062;12.790894;27.438047;56.532482;77.49302;128.842765;132.34463;;
0.135513;0.391954;4.231842;5.781924;12.730193;27.329434;56.505297;77.504552;129.014496;132.944591;;
0.132286;0.393402;4.177888;5.81448;12.747878;27.432363;56.571859;77.359134;129.02856;132.705731;;
0.130628;0.389288;4.340006;5.753072;12.739315;27.355487;56.584485;77.290078;128.854506;132.524178;;
0.133767;0.389136;4.476801;5.794689;12.743408;27.480015;56.73001;77.347722;130.096395;132.75324;;
0.130492;0.393026;4.329998;5.771422;12.8015;27.646103;56.866021;77.488696;130.349851;132.124578;;
0.133862;0.395031;4.057958;7.575748;12.625402;27.519747;56.629455;77.076365;128.829555;132.375718;;
0.130512;0.39851;4.112657;5.782523;12.619662;27.461006;56.450734;76.985343;129.003103;132.452352;;
0.132448;0.395047;4.042714;5.770913;12.87978;27.460647;56.727607;77.087174;128.893763;132.542578;;
0.134663;0.390347;4.064158;5.760904;12.665334;27.634434;56.352456;77.573645;128.733567;132.809622;;
0.146347;0.39349;3.92778;5.779429;12.687149;27.511284;56.452141;77.378671;129.299573;132.716374;;
0.138312;0.386952;4.024875;5.772034;12.731922;27.521324;56.315631;77.515606;128.903074;133.391684;;
0.134828;0.390229;4.423547;5.74603;12.716192;27.357252;56.200082;77.329924;129.968069;132.851829;;
0.134513;0.388689;4.054578;5.784238;12.681931;27.399069;56.402433;77.436835;130.396546;132.931112;;
0.133886;0.391877;3.991392;5.769438;12.615561;27.314187;56.601561;77.469329;129.620459;132.794869;;
